DISTRICT,FIRST_STAT,TotalHHMango,Area,Total number of holdings of mango under compact plantations of productive age,Total area (ha) of holdings of mango under compact plantations of productive age,Total number of trees of mango under compact plantations of productive age,Total number of holdings of mango under compact plantations of non_productive age,Total area (ha) of holdings of mango under compact plantations of non_productive age,Total number of trees of mango under compact plantations of non_productive age,Total number of scattered trees of mango that are currently in their productive age,Total number of scattered treesof mango that are currently in their non_productive age,fid,DISTRICT,FIRST_STAT
RUKUM_E,5,127,0.1,11,0.1,79,0,,0,96,96,60,RUKUM_E,5
RUKUM_W,6,4421,24.1,472,19.3,17711,315,4.8,2989,9120,13297,61,RUKUM_W,6
RUPANDEHI,5,40462,276.6,6092,216.7,59220,2489,59.9,18176,68996,38405,62,RUPANDEHI,5
SALYAN,6,10903,25.9,651,13.3,3923,671,12.6,5284,20991,25787,63,SALYAN,6
SANKHUWASABHA,1,3937,38.5,466,27.3,5787,327,11.3,3854,5435,3496,64,SANKHUWASABHA,1
SAPTARI,2,39263,"2,696.40",18984,"2,358.70",319686,5771,337.7,60019,109369,49034,65,SAPTARI,2
SARLAHI,2,19591,"1,139.20",7559,891.4,150807,2945,247.8,54486,65162,32453,66,SARLAHI,2
SINDHULI,3,21524,256.2,4945,192.3,36020,1555,63.8,15351,29069,20215,67,SINDHULI,3
SINDHUPALCHOK,3,9981,22.1,745,20.8,4264,126,1.4,451,11100,10324,68,SINDHUPALCHOK,3
SIRAHA,2,43203,"4,151.70",29216,"3,758.80",581453,5678,392.8,62824,148979,35953,69,SIRAHA,2
SOLUKHUMBU,1,228,3.4,88,2.6,598,33,0.7,170,622,217,70,SOLUKHUMBU,1
SUNSARI,1,56799,143.1,4095,125.9,39134,1174,17.2,7068,113299,48129,71,SUNSARI,1
SURKHET,6,34041,137.1,5180,105.9,51433,2096,31.2,22969,68547,44963,72,SURKHET,6
SYANGJA,4,7408,13.4,397,10.6,1901,264,2.9,1291,9617,6266,73,SYANGJA,4
TANAHU,4,16035,54.3,3137,38.4,16349,825,15.9,7934,15851,14593,74,TANAHU,4
TAPLEJUNG,1,2490,10.5,383,8.8,1007,124,1.7,574,4550,2076,75,TAPLEJUNG,1
TERHATHUM,1,1905,12,241,8.1,1965,118,3.9,1285,2827,1939,76,TERHATHUM,1
UDAYAPUR,1,25822,296.2,7164,245.5,72294,1385,50.6,17714,41767,18971,77,UDAYAPUR,1
